id,escolas_postos,bairro,endereço,lat,lon,quantidade,tipo
351,CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,JACARE,AV. DOM HELDER CAMARA 1715,"-22,88531","-43,25410",489.0,
135,EM DOMINGOS BEBIANO,INHAUMA,ESTR. ADHEMAR BEBIANO 1870,"-22,87389","-43,27771",456.0,EM
388,EM CARDEAL CAMARA,PARADA DE LUCAS,"R. ANAMA, 98","-22,81527","-43,30356",504.0,EM
440,EM JOAQUIM RIBEIRO,INHAUMA,PCA. SOLDADO COSME DOS SANTOS 28,"-22,87757","-43,28562",530.0,EM
259,EM PERNAMBUCO,MARIA DA GRACA,RUA CONDE DE AZAMBUJA 579,"-22,88417","-43,26262",158.0,EM
422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,MANGUINHOS,AV. DOS DEMOCRATICOS 268,"-22,88098","-43,25324",123.0,ESCOLA
041,EM ANDRADE NEVES,JARDIM AMERICA,RUA VIANA DO CASTELO. S/No,"-22,80944","-43,32629",468.0,EM
537,EM ARY QUINTELLA,PENHA CIRCULAR,RUA ENG. MOREIRA LIMA 54,"-22,83941","-43,30006",234.0,EM
230,EM BERLIM,OLARIA,PCA. RAMOS FIGUEIRA 20,"-22,84779","-43,26144",24.0,EM
379,CIEP NELSON MANDELA,CAMPO GRANDE,"PRACA DANIEL LAMES, S/N","-22,89557","-43,57050",109.0,CIEP
089,EM MARIO CLAUDIO,RIO COMPRIDO,"R. HADDOCK LOBO, 148","-22,91723","-43,21104",473.0,EM
146,EM BERNARDO VASCONCELOS,PENHA,"PCA. SANTA ROSALIA, 100","-22,84562","-43,28400",151.0,EM
566,EM BRANT HORTA,PENHA CIRCULAR,"RUA BENTO CARDOSO, 130","-22,83566","-43,28815",564.0,EM
388,EM CARDEAL CAMARA,PARADA DE LUCAS,"R. ANAMA, 98","-22,81527","-43,30356",504.0,EM
498,EM CHILE,OLARIA,PCA. BELMONTE 15,"-22,84858","-43,26858",61.0,EM
