subprefeitura,quantidade
BARRA DA TIJUCA,215.0
CENTRO,2352.0
GRANDE BANGU,3979.0
GRANDE TIJUCA,2125.0
ILHAS,741.0
JACAREPAGUA,2819.0
ZONA NORTE,13485.0
ZONA OESTE,8562.0
ZONA SUL,4256.0
