id,escolas_postos,bairro,endereço,lat,lon,quantidade,tipo
351,CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,JACARE,AV. DOM HELDER CAMARA 1715,"-22,885318","-43,254104",489.0,
135,EM DOMINGOS BEBIANO,INHAUMA,ESTR. ADHEMAR BEBIANO 1870,"-22,873892","-43,277712",456.0,EM
388,EM CARDEAL CAMARA,PARADA DE LUCAS,"R. ANAMA, 98","-22,81527","-43,303566",504.0,EM
440,EM JOAQUIM RIBEIRO,INHAUMA,PCA. SOLDADO COSME DOS SANTOS 28,"-22,87757","-43,285628",530.0,EM
259,EM PERNAMBUCO,MARIA DA GRACA,RUA CONDE DE AZAMBUJA 579,"-22,884179","-43,262622",158.0,EM
422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,MANGUINHOS,AV. DOS DEMOCRATICOS 268,"-22,880986","-43,253246",123.0,ESCOLA
041,EM ANDRADE NEVES,JARDIM AMERICA,RUA VIANA DO CASTELO. S/No,"-22,809448","-43,326292",468.0,EM
537,EM ARY QUINTELLA,PENHA CIRCULAR,RUA ENG. MOREIRA LIMA 54,"-22,839412","-43,300069",234.0,EM
230,EM BERLIM,OLARIA,PCA. RAMOS FIGUEIRA 20,"-22,847791","-43,261444",24.0,EM
379,CIEP NELSON MANDELA,CAMPO GRANDE,"PRACA DANIEL LAMES, S/N","-22,895575","-43,570508",109.0,CIEP
089,EM MARIO CLAUDIO,RIO COMPRIDO,"R. HADDOCK LOBO, 148","-22,917233","-43,211044",473.0,EM
146,EM BERNARDO VASCONCELOS,PENHA,"PCA. SANTA ROSALIA, 100","-22,845629","-43,284007",151.0,EM
566,EM BRANT HORTA,PENHA CIRCULAR,"RUA BENTO CARDOSO, 130","-22,835668","-43,288156",564.0,EM
388,EM CARDEAL CAMARA,PARADA DE LUCAS,"R. ANAMA, 98","-22,81527","-43,303566",504.0,EM
498,EM CHILE,OLARIA,PCA. BELMONTE 15,"-22,84858","-43,268589",61.0,EM
663,EM CIENTISTA MARIO KROEFF,PENHA,"RUA DO COUTO, 91","-22,838964","-43,27517",426.0,EM
121,EM DILERMANDO CRUZ,RAMOS,"AV. TEIXEIRA DE CASTRO, 407","-22,853868","-43,252451",167.0,EM
161,E.M JOAO DE DEUS,PENHA CIRCULAR,PCA. ALMEIDA GARRET S/No,"-22,829946","-43,282108",509.0,EM
263,EM PADRE MANUEL DE NOBREGA,VIGARIO GERAL,"PRACA ELBA, 1215","-22,857137","-43,264165",292.0,EM
118,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,BONSUCESSO,RUA PRINCIPAL S/N.o,"-22,857829","-43,240452",210.0,
140,EM PEDRO LESSA,BONSUCESSO,"RUA ADAIL, 49","-22,86047","-43,25428",153.0,EM
260,EM PROFESSOR JOSUE DE CASTRO,BONSUCESSO,AV. BRASIL 4040 RUA DA VITORIA,"-22,873739","-43,240712",,EM
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,876082","-43,343369",468.0,ESCOLA
090,EM THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR S/No,"-22,81631","-43,340149",67.0,EM
274,EM ABEILARD FEIJO,CACUIA,ESTRADA DA CACUIA 1386,"-22,807692","-43,181558",561.0,EM
676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,JARDIM GUANABARA,"RUA SERENATA, 40","-22,812441","-43,209658",180.0,ESCOLA
390,E.M. ANDREA FONTES PEIXOTO,PARQUE COLUMBIA,RUA FAUSTO E CASTRO S/No,"-22,81631","-43,340149",257.0,EM
608,EM GRANDJEAN DE MONTIGNY,PAVUNA,"PRACA DOS UCRANIANOS, S/No","-22,81389","-43,373926",260.0,EM
589,EM MARIO PIRAGIBE,ANCHIETA,"PRACA NOSSA SENHORA DAS DORES, S/No","-22,825581","-43,392076",317.0,EM
256,ESCOLA MUNICIPAL PARAIBA,ANCHIETA,ESTRADA MARECHAL ALENCASTRO 4.035,"-22,826363","-43,402883",345.0,ESCOLA
091,E.M. PIAUI,GUADALUPE,AVENIDA BRASIL 23.364,"-22,845415","-43,37852",,EM
090,EM THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR S/No,"-22,81631","-43,340149",67.0,EM
248,E.M. ASPIRANTE CARLOS ALFREDO,TURIACU,RUA IBIA 105,"-22,860846","-43,34455",513.0,EM
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,876082","-43,343369",468.0,ESCOLA
623,EM CECILIA MEIRELES,VILA KOSMOS,"R. SD. SERVINO MENGARDA, 260","-22,84944","-43,303787",416.0,EM
603,EM ESPIRITO SANTO,CAVALCANTI,"RUA HERCULANO PENA, S/N","-22,874299","-43,314719",352.0,EM
673,ESCOLA MUNICIPAL GRECIA,VILA DA PENHA,"AV. BRAZ DE PINA, 1614","-22,83783","-43,312536",393.0,ESCOLA
089,EM MARIO CLAUDIO,RIO COMPRIDO,"R. HADDOCK LOBO, 148","-22,917233","-43,211044",473.0,EM
520,EM BARONESA DE SAAVEDRA,REALENGO,"R. MAL. BIBIANO COSTALAT, 483-639","-22,87185","-43,432432",136.0,EM
412,EM MOZART LAGO,OSWALDO CRUZ,RUA JOSE CARVALHO SALGADO S/N.o,"-22,872211","-43,350334",,EM
031,E.M. PARA,ROCHA MIRANDA,AV. DOS ITALIANOS 500,"-22,851963","-43,34949",115.0,EM
514,EM PARANA,CASCADURA,AV. ERNANI CARDOSO 316,"-22,882408","-43,338111",534.0,EM
023,EM CERVANTES,BENTO RIBEIRO,RUA ABILIO DOS SANTOS 170,"-22,86459","-43,365952",342.0,EM
415,ESCOLA MUNICIPAL LUIZ DE CAMOES,COLEGIO,"ESTR. LUIZDE CAMOES, 1446","-22,846044","-43,338668",152.0,ESCOLA
016,CIEP JOAO BATISTA DOS SANTOS,CIDADE DE DEUS,"RUA EDGAR WERNECK, 1.565","-22,947106","-43,359739",430.0,CIEP
570,EM HELENA LOPES ABRANCHES,GARDENIA AZUL,RUA ACAPORI 495,"-22,96072","-43,353437",466.0,EM
528,CIEP MARGARET MEE,RECREIO,RUA MINISTRO ALIOMAR BALEEIRO S/No,"-23,019811","-43,481721",51.0,CIEP
414,EM CLAUDIO BESSERMAN VIANNA - BUSSUNDA,RIO DAS PEDRAS,ESTRADA DE JACAREPAGUA 3327,"-22,973355","-43,329156",26.0,EM
690,ESCOLA MUNICIPAL FINLANDIA,CAMORIM,R. IGARAPE-ACU,"-22,971988","-43,410113",94.0,ESCOLA
202,E.M. PROFESSOR TEOFILO MOREIRA DA COSTA,VARGEM GRANDE,RUA ESPERANCA 387,"-22,981726","-43,491639",121.0,EM
550,EM 25 DE ABRIL,FREGUESIA JPA,RUA MAMORE 78,"-22,938165","-43,342579",128.0,EM
211,EM FRANCIS HIME,TAQUARA,ESTRADA PAU DA FOME 196,"-22,918831","-43,41625",520.0,EM
206,EM HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA 12,"-22,896931","-43,352667",392.0,EM
492,EM MENEZES CORTES,FREGUESIA JPA,PRACA JOSE ALVES DE AZEVEDO 43,"-22,942655","-43,338969",,EM
466,ESCOLA MUNICIPAL NELSON RODRIGUES,TAQUARA,RUA FREI LUIZ ALEVATO S/Ndeg,"-22,935328","-43,369728",279.0,ESCOLA
636,EM PABLO NERUDA,TAQUARA,"ESTRADA DO MAPUA, S/No RUA 3","-22,92688","-43,387881",161.0,EM
527,EM VIRGILIO VARZEA,PECHINCHA,RUA JOSE SILVA 155,"-22,93253","-43,35113",179.0,EM
586,CIEP ANTONIO EVARISTO DE MORAES,SENADOR CAMARA,AVENIDA DE SANTA CRUZ S/Ndeg,"-22,881793","-43,487326",194.0,CIEP
080,E.M. JOSE MAURO DE VASCONCELOS,BANGU,RUA MARLIERIA S/No,"-22,850438","-43,466856",599.0,EM
